swapSweep(final_Pout "Tfront") (extra_loss_dB=0) X,swapSweep(final_Pout "Tfront") (extra_loss_dB=0) Y,swapSweep(final_Pout "Tfront") (extra_loss_dB=0.5) X,swapSweep(final_Pout "Tfront") (extra_loss_dB=0.5) Y,swapSweep(final_Pout "Tfront") (extra_loss_dB=1) X,swapSweep(final_Pout "Tfront") (extra_loss_dB=1) Y,swapSweep(final_Pout "Tfront") (extra_loss_dB=1.5) X,swapSweep(final_Pout "Tfront") (extra_loss_dB=1.5) Y,swapSweep(final_Pout "Tfront") (extra_loss_dB=2) X,swapSweep(final_Pout "Tfront") (extra_loss_dB=2) Y,swapSweep(final_Pout "Tfront") (extra_loss_dB=2.5) X,swapSweep(final_Pout "Tfront") (extra_loss_dB=2.5) Y,swapSweep(final_Pout "Tfront") (extra_loss_dB=3) X,swapSweep(final_Pout "Tfront") (extra_loss_dB=3) Y,swapSweep(final_Pout "Tfront") (extra_loss_dB=3.5) X,swapSweep(final_Pout "Tfront") (extra_loss_dB=3.5) Y,swapSweep(final_Pout "Tfront") (extra_loss_dB=4) X,swapSweep(final_Pout "Tfront") (extra_loss_dB=4) Y,swapSweep(final_Pout "Tfront") (extra_loss_dB=4.5) X,swapSweep(final_Pout "Tfront") (extra_loss_dB=4.5) Y,swapSweep(final_Pout "Tfront") (extra_loss_dB=5) X,swapSweep(final_Pout "Tfront") (extra_loss_dB=5) Y
0.05,0.06836980646534695,0.05,0.01641464688210312,0.05,0.00897334145562723,0.05,0.005968143478149508,0.05,0.004350164486704482,0.05,0.003321971722221001,0.05,0.002617562241811704,0.05,0.002100743351736296,0.05,0.001708696614117575,0.05,0.001402290619919272,0.05,0.001156334706142412
0.1,0.08164734558242581,0.1,0.02839545697989165,0.1,0.01656700432945452,0.1,0.01132365689057114,0.1,0.008360352504292123,0.1,0.006427740699973149,0.1,0.005100420852541735,0.1,0.004109795784390968,0.1,0.003350672957528832,0.1,0.002752293727020597,0.1,0.002272316423421883
0.15,0.08683445641368434,0.15,0.03737678179290484,0.15,0.02300927314902731,0.15,0.0161209190483359,0.15,0.01205099625723023,0.15,0.009362165977648298,0.15,0.007452815776867528,0.15,0.006022792784450146,0.15,0.004917782248576063,0.15,0.004047978737970615,0.15,0.003344538754355487
0.2,0.08928969577695491,0.2,0.04440678264483684,0.2,0.02857256298223674,0.2,0.02042300540359178,0.2,0.01545266911535607,0.2,0.01209545852785093,0.2,0.009672228494083493,0.2,0.007839667902132029,0.2,0.006422876582190575,0.2,0.005289562814184908,0.2,0.004375779632354321
0.25,0.09046771267732349,0.25,0.04986534594099995,0.25,0.03327107206402547,0.25,0.02426776794405789,0.25,0.01857034276383371,0.25,0.01463878300352846,0.25,0.01174932776807504,0.25,0.009558068686808748,0.25,0.007848564691414204,0.25,0.006469640183024756,0.25,0.005350376571193299
0.3,0.09090775828862982,0.3,0.05411259019797091,0.3,0.0373832482328014,0.3,0.0277143917050952,0.3,0.02140184398476357,0.3,0.01699054609131477,0.3,0.01371538580000387,0.3,0.01118441510123086,0.3,0.009182325012998205,0.3,0.007594761102902848,0.3,0.006287448687080244
0.35,0.09088215014333366,0.35,0.05752455763037493,0.35,0.04088129574145528,0.35,0.03078341138750493,0.35,0.02402307805185923,0.35,0.01917922360652911,0.35,0.01553251992083394,0.35,0.01269747277165533,0.35,0.0104689802516674,0.35,0.008649985958092393,0.35,0.007172022125068546
0.4,0.09051538540314313,0.4,0.06016919107706455,0.4,0.0438048275880904,0.4,0.03347925351019463,0.4,0.02637839485103769,0.4,0.02116291324466267,0.4,0.0172217441796365,0.4,0.01412281305699487,0.4,0.01164646598376218,0.4,0.009637220408841419,0.4,0.007988297609971074
0.45,0.08968003035825318,0.45,0.06231367377233447,0.45,0.04629431760858482,0.45,0.03584712506242142,0.45,0.02846841028540767,0.45,0.02297363977754182,0.45,0.01874065022607675,0.45,0.0154203889362794,0.45,0.01273736650049872,0.45,0.01055067824812532,0.45,0.008746084691707691
0.5,0.08897255948576215,0.5,0.06377356722048474,0.5,0.04833030352387562,0.5,0.03781754142181424,0.5,0.03031020181029521,0.5,0.02459346727382257,0.5,0.02013850103132776,0.5,0.01659388335552078,0.5,0.01373046365347741,0.5,0.01137283337684429,0.5,0.009426862682612286
0.55,0.08774150960732803,0.55,0.06481452356589368,0.55,0.04998490073658967,0.55,0.03958874670978195,0.55,0.03188576427552685,0.55,0.02597744025857864,0.55,0.02136155311559395,0.55,0.01763545771025665,0.55,0.01460388332610524,0.55,0.01210793627542971,0.55,0.01003082303211341
0.6,0.08637055682934869,0.6,0.06539330616029547,0.6,0.05118368931965198,0.6,0.04093347271727289,0.6,0.03319567742514751,0.6,0.02719027107098968,0.6,0.02240683486381982,0.6,0.0185348506979883,0.6,0.01534393369334705,0.6,0.01272689148553722,0.6,0.01053779749876655
0.65,0.08467828010882672,0.65,0.06541507095233316,0.65,0.05198068852231566,0.65,0.04192020132102009,0.65,0.03419659954863483,0.65,0.02807670685975079,0.65,0.02322519404017356,0.65,0.01922841220269574,0.65,0.01594758523663852,0.65,0.01321017282146676,0.65,0.01093198418220342
0.7000000000000001,0.08260162827041562,0.7000000000000001,0.06512047680256257,0.7000000000000001,0.05219539828710329,0.7000000000000001,0.04252324115452533,0.7000000000000001,0.03488980798074809,0.7000000000000001,0.02875493863105149,0.7000000000000001,0.02380562251587776,0.7000000000000001,0.01972894882785135,0.7000000000000001,0.01635429461149232,0.7000000000000001,0.01353922156067387,0.7000000000000001,0.01118524326032195
0.75,0.07999913220144499,0.75,0.06415580196287461,0.75,0.05205681501763438,0.75,0.04265603735625246,0.75,0.03512369372850286,0.75,0.02905282612968067,0.75,0.02407907657552567,0.75,0.01996050570391083,0.75,0.01653223178749948,0.75,0.0136671314012781,0.75,0.01125799296345326
0.8,0.0770189310187336,0.8,0.06246400961948559,0.8,0.05116690886458237,0.8,0.04214678562112974,0.8,0.03487090625797424,0.8,0.02888447849796394,0.8,0.02392810393654264,0.8,0.01983154766224499,0.8,0.01639533092906579,0.8,0.01350600855400339,0.8,0.01107919956157997
0.85,0.07281306326228901,0.85,0.05978433366873732,0.85,0.04931985654927001,0.85,0.04075589949899046,0.85,0.03382900550755068,0.85,0.02803274037603999,0.85,0.02320886873668849,0.85,0.01916278554364711,0.85,0.01577710056403943,0.85,0.01293119794918149,0.85,0.01053344811355712
0.9,0.0669231043139632,0.9,0.05533684453507174,0.9,0.04586586687656812,0.9,0.03800530102737651,0.9,0.03149032641541932,0.9,0.02603539490977253,0.9,0.02144425197983013,0.9,0.01759343241799083,0.9,0.01435474317436471,0.9,0.01163009709464342,0.9,0.009336045732593161
0.9500000000000001,0.05663967880672961,0.9500000000000001,0.04691385846762755,0.9500000000000001,0.03877932945651336,0.9500000000000001,0.03194104933981285,0.9500000000000001,0.02621168381865328,0.9500000000000001,0.02138685735928661,0.9500000000000001,0.01732459467895626,0.9500000000000001,0.0139107600009221,0.9500000000000001,0.01105163739696886,0.9500000000000001,0.008659600848490118,0.9500000000000001,0.006662015715886665
