Pin_dBm X,Pin_dBm Y,Pout_dBm X,Pout_dBm Y,g_dB X,g_dB Y
1e-07,-39.99999995657055,1e-07,-25.26052399582122,1e-07,14.73947596074933
1.0471285480509e-07,-39.80000026375395,1.0471285480509e-07,-25.06054368003161,1.0471285480509e-07,14.73945658372234
1.096478196143185e-07,-39.60000026562063,1.096478196143185e-07,-24.86056397191693,1.096478196143185e-07,14.7394362937037
1.148153621496883e-07,-39.40000026740328,1.148153621496883e-07,-24.66058521974709,1.148153621496883e-07,14.73941504765619
1.202264434617413e-07,-39.20000026910572,1.202264434617413e-07,-24.46060746856188,1.202264434617413e-07,14.73939280054384
1.258925411794168e-07,-39.00000027073152,1.258925411794168e-07,-24.26063076552137,1.258925411794168e-07,14.73936950521015
1.318256738556408e-07,-38.80000027228415,1.318256738556408e-07,-24.06065516000581,1.318256738556408e-07,14.73934511227835
1.380384264602885e-07,-38.6000002737669,1.380384264602885e-07,-23.86068070371995,1.380384264602885e-07,14.73931957004696
1.445439770745928e-07,-38.40000027518293,1.445439770745928e-07,-23.66070745080247,1.445439770745928e-07,14.73929282438047
1.513561248436209e-07,-38.2000002765352,1.513561248436209e-07,-23.46073545794034,1.513561248436209e-07,14.73926481859486
1.584893192461115e-07,-38.00000027782663,1.584893192461115e-07,-23.26076478448884,1.584893192461115e-07,14.73923549333779
1.659586907437562e-07,-37.80000027905993,1.659586907437562e-07,-23.06079549259682,1.659586907437562e-07,14.73920478646311
1.737800828749377e-07,-37.60000028023772,1.737800828749377e-07,-22.86082764733818,1.737800828749377e-07,14.73917263289954
1.819700858609985e-07,-37.4000002813625,1.819700858609985e-07,-22.66086131684932,1.819700858609985e-07,14.73913896451318
1.905460717963249e-07,-37.20000028243667,1.905460717963249e-07,-22.46089657247312,1.905460717963249e-07,14.73910370996354
1.995262314968882e-07,-37.00000028346248,1.995262314968882e-07,-22.2609334889096,1.995262314968882e-07,14.73906679455288
2.089296130854042e-07,-36.80000028444212,2.089296130854042e-07,-22.06097214437368,2.089296130854042e-07,14.73902814006844
2.187761623949555e-07,-36.60000028537767,2.187761623949555e-07,-21.86101262076036,2.187761623949555e-07,14.73898766461731
2.290867652767776e-07,-36.40000028627112,2.290867652767776e-07,-21.66105500381757,2.290867652767776e-07,14.73894528245354
2.398832919019494e-07,-36.20000028712434,2.398832919019494e-07,-21.46109938332712,2.398832919019494e-07,14.73890090379723
2.511886431509583e-07,-36.00000028793919,2.511886431509583e-07,-21.26114585329417,2.511886431509583e-07,14.73885443464502
2.630267991895385e-07,-35.80000028871735,2.630267991895385e-07,-21.0611945121455,2.630267991895385e-07,14.73880577657185
2.75422870333817e-07,-35.60000028946048,2.75422870333817e-07,-20.8612454629371,2.75422870333817e-07,14.73875482652338
2.88403150312661e-07,-35.40000029017017,2.88403150312661e-07,-20.66129881357144,2.88403150312661e-07,14.73870147659873
3.019951720402021e-07,-35.20000029084791,3.019951720402021e-07,-20.4613546770249,3.019951720402021e-07,14.73864561382301
3.162277660168384e-07,-35.00000029149516,3.162277660168384e-07,-20.26141317158581,3.162277660168384e-07,14.73858711990934
3.311311214825916e-07,-34.80000029211328,3.311311214825916e-07,-20.06147442110363,3.311311214825916e-07,14.73852587100965
3.467368504525322e-07,-34.60000029270357,3.467368504525322e-07,-19.8615385552497,3.467368504525322e-07,14.73846173745387
3.63078054770102e-07,-34.4000002932673,3.63078054770102e-07,-19.66160570979025,3.63078054770102e-07,14.73839458347704
3.801893963205619e-07,-34.20000029380565,3.801893963205619e-07,-19.46167602687208,3.801893963205619e-07,14.73832426693357
3.98107170553498e-07,-34.00000029431978,3.98107170553498e-07,-19.26174965532152,3.98107170553498e-07,14.73825063899825
4.168693834703363e-07,-33.80000029481076,4.168693834703363e-07,-19.06182675095738,4.168693834703363e-07,14.73817354385338
4.365158322401669e-07,-33.60000029527965,4.365158322401669e-07,-18.86190747691845,4.365158322401669e-07,14.7380928183612
4.57088189614876e-07,-33.40000029572743,4.57088189614876e-07,-18.66199200400617,4.57088189614876e-07,14.73800829172125
4.786300923226394e-07,-33.20000029615506,4.786300923226394e-07,-18.46208051104341,4.786300923226394e-07,14.73791978511166
5.011872336272733e-07,-33.00000029656344,5.011872336272733e-07,-18.26217318524963,5.011872336272733e-07,14.73782711131381
5.248074602497737e-07,-32.80000029695345,5.248074602497737e-07,-18.06227022263381,5.248074602497737e-07,14.73773007431964
5.495408738576258e-07,-32.60000029732589,5.495408738576258e-07,-17.86237182840527,5.495408738576258e-07,14.73762846892063
5.754399373371582e-07,-32.40000029768159,5.754399373371582e-07,-17.66247821740382,5.754399373371582e-07,14.73752208027777
6.025595860743591e-07,-32.20000029802127,6.025595860743591e-07,-17.46258961454966,6.025595860743591e-07,14.7374106834716
6.309573444801948e-07,-32.00000029834565,6.309573444801948e-07,-17.26270625531419,6.309573444801948e-07,14.73729404303146
6.606934480075976e-07,-31.80000029865544,6.606934480075976e-07,-17.06282838621253,6.606934480075976e-07,14.73717191244291
6.918309709189382e-07,-31.6000002989513,6.918309709189382e-07,-16.86295626531892,6.918309709189382e-07,14.73704403363238
7.24435960074992e-07,-31.40000029923382,7.24435960074992e-07,-16.66309016280573,7.24435960074992e-07,14.73691013642809
7.585775750291858e-07,-31.20000029950364,7.585775750291858e-07,-16.46323036150755,7.585775750291858e-07,14.73676993799609
7.943282347242837e-07,-31.00000029976131,7.943282347242837e-07,-16.26337715751108,7.943282347242837e-07,14.73662314225023
8.317637711026733e-07,-30.80000030000739,8.317637711026733e-07,-16.06353086077227,8.317637711026733e-07,14.73646943923512
8.709635899560831e-07,-30.60000030024239,8.709635899560831e-07,-15.86369179576181,8.709635899560831e-07,14.73630850448058
9.120108393559124e-07,-30.40000030046681,9.120108393559124e-07,-15.66386030214027,9.120108393559124e-07,14.73613999832654
9.549925860214388e-07,-30.20000030068113,9.549925860214388e-07,-15.46403673546415,9.549925860214388e-07,14.73596356521698
1.000000000000003e-06,-30.00000030088581,1.000000000000003e-06,-15.26422146792435,1.000000000000003e-06,14.73577883296145
1.047128548050903e-06,-29.80000030108127,1.047128548050903e-06,-15.06441488911835,1.047128548050903e-06,14.73558541196292
1.096478196143189e-06,-29.60000030126794,1.096478196143189e-06,-14.86461740685768,1.096478196143189e-06,14.73538289441026
1.148153621496887e-06,-29.40000030144621,1.148153621496887e-06,-14.6648294480122,1.148153621496887e-06,14.73517085343401
1.202264434617417e-06,-29.20000030161645,1.202264434617417e-06,-14.46505145939282,1.202264434617417e-06,14.73494884222362
1.258925411794172e-06,-29.00000030177903,1.258925411794172e-06,-14.26528390867443,1.258925411794172e-06,14.73471639310461
1.318256738556412e-06,-28.80000030193429,1.318256738556412e-06,-14.06552728536046,1.318256738556412e-06,14.73447301657382
1.38038426460289e-06,-28.60000030208257,1.38038426460289e-06,-13.86578210179149,1.38038426460289e-06,14.73421820029108
1.445439770745933e-06,-28.40000030222416,1.445439770745933e-06,-13.66604889419906,1.445439770745933e-06,14.73395140802511
1.513561248436214e-06,-28.2000003023594,1.513561248436214e-06,-13.46632822380737,1.513561248436214e-06,14.73367207855204
1.58489319246112e-06,-28.00000030248853,1.58489319246112e-06,-13.26662067798424,1.58489319246112e-06,14.73337962450429
1.659586907437567e-06,-27.80000030261187,1.659586907437567e-06,-13.06692687144413,1.659586907437567e-06,14.73307343116774
1.737800828749382e-06,-27.60000030272964,1.737800828749382e-06,-12.86724744750465,1.737800828749382e-06,14.73275285522499
1.819700858609991e-06,-27.40000030284213,1.819700858609991e-06,-12.66758307939961,1.819700858609991e-06,14.73241722344251
1.905460717963255e-06,-27.20000030294954,1.905460717963255e-06,-12.46793447165034,1.905460717963255e-06,14.7320658312992
1.995262314968888e-06,-27.00000030305212,1.995262314968888e-06,-12.2683023614981,1.995262314968888e-06,14.73169794155402
2.089296130854048e-06,-26.80000030315009,2.089296130854048e-06,-12.06868752039997,2.089296130854048e-06,14.73131278275012
2.187761623949562e-06,-26.60000030324364,2.187761623949562e-06,-11.86909075559081,2.187761623949562e-06,14.73090954765283
2.290867652767783e-06,-26.40000030333299,2.290867652767783e-06,-11.6695129117141,2.290867652767783e-06,14.73048739161888
2.398832919019501e-06,-26.20000030341831,2.398832919019501e-06,-11.46995487252429,2.398832919019501e-06,14.73004543089402
2.511886431509592e-06,-26.00000030349979,2.511886431509592e-06,-11.27041756266372,2.511886431509592e-06,14.72958274083607
2.630267991895394e-06,-25.80000030357761,2.630267991895394e-06,-11.07090194951697,2.630267991895394e-06,14.72909835406065
2.754228703338179e-06,-25.60000030365192,2.754228703338179e-06,-10.87140904514562,2.754228703338179e-06,14.72859125850631
2.88403150312662e-06,-25.40000030372289,2.88403150312662e-06,-10.67193990830689,2.88403150312662e-06,14.728060395416
3.019951720402031e-06,-25.20000030379066,3.019951720402031e-06,-10.47249564655893,3.019951720402031e-06,14.72750465723173
3.162277660168395e-06,-25.0000003038554,3.162277660168395e-06,-10.27307741845656,3.162277660168395e-06,14.72692288539883
3.311311214825928e-06,-24.8000003039172,3.311311214825928e-06,-10.07368643584043,3.311311214825928e-06,14.72631386807677
3.467368504525335e-06,-24.60000030397622,3.467368504525335e-06,-9.874323966223532,3.467368504525335e-06,14.72567633775269
3.630780547701033e-06,-24.4000003040326,3.630780547701033e-06,-9.674991335278266,3.630780547701033e-06,14.72500896875433
3.801893963205632e-06,-24.20000030408643,3.801893963205632e-06,-9.475689929427919,3.801893963205632e-06,14.72431037465851
3.981071705534994e-06,-24.00000030413785,3.981071705534994e-06,-9.276421198546302,3.981071705534994e-06,14.72357910559154
4.168693834703377e-06,-23.80000030418694,4.168693834703377e-06,-9.077186658769147,4.168693834703377e-06,14.72281364541779
4.365158322401684e-06,-23.60000030423384,4.365158322401684e-06,-8.877987895421414,4.365158322401684e-06,14.72201240881242
4.570881896148776e-06,-23.40000030427861,4.570881896148776e-06,-8.678826566064055,4.570881896148776e-06,14.72117373821455
4.786300923226411e-06,-23.20000030432137,4.786300923226411e-06,-8.479704403664648,4.786300923226411e-06,14.72029590065673
5.011872336272751e-06,-23.00000030436221,5.011872336272751e-06,-8.280623219895364,5.011872336272751e-06,14.71937708446685
5.248074602497756e-06,-22.80000030440121,5.248074602497756e-06,-8.081584908562816,5.248074602497756e-06,14.7184153958384
5.495408738576277e-06,-22.60000030443845,5.495408738576277e-06,-7.882591449173347,5.495408738576277e-06,14.71740885526511
5.754399373371603e-06,-22.40000030447403,5.754399373371603e-06,-7.683644910638201,5.754399373371603e-06,14.71635539383583
6.025595860743613e-06,-22.20000030450799,6.025595860743613e-06,-7.484747455122225,6.025595860743613e-06,14.71525284938577
6.30957344480197e-06,-22.00000030454043,6.30957344480197e-06,-7.285901342040368,6.30957344480197e-06,14.71409896250006
6.606934480076e-06,-21.80000030457141,6.606934480076e-06,-7.087108932205731,6.606934480076e-06,14.71289137236568
6.918309709189407e-06,-21.600000304601,6.918309709189407e-06,-6.888372692133006,6.918309709189407e-06,14.71162761246799
7.244359600749946e-06,-21.40000030462925,7.244359600749946e-06,-6.689695198501146,7.244359600749946e-06,14.7103051061281
7.585775750291886e-06,-21.20000030465623,7.585775750291886e-06,-6.491079142778809,7.585775750291886e-06,14.70892116187742
7.943282347242866e-06,-21.000000304682,7.943282347242866e-06,-6.292527336015957,7.943282347242866e-06,14.70747296866604
8.317637711026764e-06,-20.80000030470661,8.317637711026764e-06,-6.094042713805006,8.317637711026764e-06,14.7059575909016
8.709635899560863e-06,-20.6000003047301,8.709635899560863e-06,-5.895628341414366,8.709635899560863e-06,14.70437196331573
9.120108393559157e-06,-20.40000030475255,9.120108393559157e-06,-5.697287419097328,9.120108393559157e-06,14.70271288565522
9.549925860214423e-06,-20.20000030477398,9.549925860214423e-06,-5.499023287578414,9.549925860214423e-06,14.70097701719556
1.000000000000007e-05,-20.00000030479445,1.000000000000007e-05,-5.300839433719712,1.000000000000007e-05,14.69916087107473
1.047128548050907e-05,-19.80000030481399,1.047128548050907e-05,-5.102739496368287,1.047128548050907e-05,14.6972608084457
1.096478196143193e-05,-19.60000030483266,1.096478196143193e-05,-4.904727272386353,1.096478196143193e-05,14.69527303244631
1.148153621496891e-05,-19.40000030485048,1.148153621496891e-05,-4.706806722864481,1.148153621496891e-05,14.693193581986
1.202264434617421e-05,-19.20000030486751,1.202264434617421e-05,-4.508981979518127,1.202264434617421e-05,14.69101832534939
1.258925411794176e-05,-19.00000030488377,1.258925411794176e-05,-4.311257351266673,1.258925411794176e-05,14.6887429536171
1.318256738556417e-05,-18.80000030489929,1.318256738556417e-05,-4.113637330993749,1.318256738556417e-05,14.68636297390554
1.380384264602895e-05,-18.60000030491412,1.380384264602895e-05,-3.916126602486561,1.380384264602895e-05,14.68387370242755
1.445439770745938e-05,-18.40000030492827,1.445439770745938e-05,-3.718730047551108,1.445439770745938e-05,14.68127025737717
1.51356124843622e-05,-18.2000003049418,1.51356124843622e-05,-3.521452753299228,1.51356124843622e-05,14.67854755164257
1.584893192461126e-05,-18.00000030495471,1.584893192461126e-05,-3.324300019602203,1.584893192461126e-05,14.67570028535251
1.659586907437573e-05,-17.80000030496705,1.659586907437573e-05,-3.127277366704582,1.659586907437573e-05,14.67272293826247
1.737800828749389e-05,-17.60000030497883,1.737800828749389e-05,-2.930390542990357,1.737800828749389e-05,14.66960976198847
1.819700858609998e-05,-17.40000030499007,1.819700858609998e-05,-2.733645532892514,1.819700858609998e-05,14.66635477209755
1.905460717963262e-05,-17.20000030500081,1.905460717963262e-05,-2.537048564935123,1.905460717963262e-05,14.66295174006568
1.995262314968896e-05,-17.00000030501107,1.995262314968896e-05,-2.340606119895684,1.995262314968896e-05,14.65939418511539
2.089296130854056e-05,-16.80000030502086,2.089296130854056e-05,-2.144324939073532,2.089296130854056e-05,14.65567536594733
2.187761623949571e-05,-16.60000030503022,2.187761623949571e-05,-1.948212032648336,2.187761623949571e-05,14.65178827238189
2.290867652767792e-05,-16.40000030503916,2.290867652767792e-05,-1.752274688110404,2.290867652767792e-05,14.64772561692875
2.398832919019511e-05,-16.20000030504769,2.398832919019511e-05,-1.556520478742693,2.398832919019511e-05,14.643479826305
2.511886431509602e-05,-16.00000030505583,2.511886431509602e-05,-1.36095727213166,2.511886431509602e-05,14.63904303292417
2.630267991895404e-05,-15.80000030506363,2.630267991895404e-05,-1.165593238682174,2.630267991895404e-05,14.63440706638145
2.75422870333819e-05,-15.60000030507105,2.75422870333819e-05,-0.9704368601083645,2.75422870333819e-05,14.62956344496268
2.884031503126631e-05,-15.40000030507814,2.884031503126631e-05,-0.7754969378706179,2.884031503126631e-05,14.62450336720753
3.019951720402043e-05,-15.20000030508492,3.019951720402043e-05,-0.5807826015247964,3.019951720402043e-05,14.61921770356012
3.162277660168407e-05,-15.0000003050914,3.162277660168407e-05,-0.3863033169480848,3.162277660168407e-05,14.61369698814331
3.31131121482594e-05,-14.80000030509758,3.31131121482594e-05,-0.1920688944017159,3.31131121482594e-05,14.60793141069586
3.467368504525347e-05,-14.60000030510349,3.467368504525347e-05,0.001910503611491687,3.467368504525347e-05,14.60191080871498
3.630780547701046e-05,-14.40000030510912,3.630780547701046e-05,0.1956243547407949,3.630780547701046e-05,14.59562465984991
3.801893963205646e-05,-14.2000003051145,3.801893963205646e-05,0.3890617694811042,3.801893963205646e-05,14.5890620745956
3.981071705535009e-05,-14.00000030511963,3.981071705535009e-05,0.5822114842189783,3.981071705535009e-05,14.58221178933861
4.168693834703392e-05,-13.80000030512455,4.168693834703392e-05,0.7750618546866949,4.168693834703392e-05,14.57506215981125
4.3651583224017e-05,-13.60000030512924,4.3651583224017e-05,0.9676008498834117,4.3651583224017e-05,14.56760115501265
4.570881896148793e-05,-13.40000030513372,4.570881896148793e-05,1.159816046525722,4.570881896148793e-05,14.55981635165944
4.786300923226428e-05,-13.20000030513799,4.786300923226428e-05,1.35169462409325,4.786300923226428e-05,14.55169492923124
5.011872336272771e-05,-13.00000030514208,5.011872336272771e-05,1.543223360537769,5.011872336272771e-05,14.54322366567985
5.248074602497776e-05,-12.80000030514597,5.248074602497776e-05,1.73438862872753,5.248074602497776e-05,14.5343889338735
5.495408738576298e-05,-12.60000030514971,5.495408738576298e-05,1.925176393700775,5.495408738576298e-05,14.52517669885048
5.754399373371625e-05,-12.40000030515325,5.754399373371625e-05,2.115572210805431,5.754399373371625e-05,14.51557251595868
6.025595860743636e-05,-12.20000030515665,6.025595860743636e-05,2.305561224803103,6.025595860743636e-05,14.50556152995976
6.309573444801994e-05,-12.0000003051599,6.309573444801994e-05,2.495128170018353,6.309573444801994e-05,14.49512847517825
6.606934480076026e-05,-11.80000030516299,6.606934480076026e-05,2.684257371614223,6.606934480076026e-05,14.48425767677722
6.918309709189434e-05,-11.60000030516595,6.918309709189434e-05,2.872932748076603,6.918309709189434e-05,14.47293305324256
7.244359600749974e-05,-11.40000030516877,7.244359600749974e-05,3.061137814989548,7.244359600749974e-05,14.46113812015832
7.585775750291914e-05,-11.20000030517148,7.585775750291914e-05,3.248855690183158,7.585775750291914e-05,14.44885599535464
7.943282347242897e-05,-11.00000030517404,7.943282347242897e-05,3.436069100334571,7.943282347242897e-05,14.43606940550861
8.317637711026796e-05,-10.80000030517651,8.317637711026796e-05,3.622760389099815,8.317637711026796e-05,14.42276069427633
